"","genes","logFC","logCPM","F","PValue","FDR"
"ENSG00000176641.11","ENSG00000176641.11",-1.70472238289795,3.58410715385374,172.292422272569,2.7838218954754e-33,5.34493803931277e-31
"ENSG00000125459.17","ENSG00000125459.17",1.6888898653795,3.09349779443733,171.079432812899,4.29895254095849e-33,8.09214595945127e-31
"ENSG00000171503.12","ENSG00000171503.12",-1.56363302280424,5.3060532155619,170.956228749767,4.49317224858324e-33,8.29508722815367e-31
"ENSG00000162840.4","ENSG00000162840.4",-3.1514044518318,4.99684175262815,170.617459075868,5.07389066423766e-33,9.1904434672984e-31
"ENSG00000010610.10","ENSG00000010610.10",-1.82275934139232,5.23353312547522,169.020389760777,9.00769916981972e-33,1.60136874130128e-30
"ENSG00000139318.8","ENSG00000139318.8",-1.58577800153871,5.74811372829179,164.627802235907,4.40307545857205e-32,7.68536807314395e-30
"ENSG00000145824.13","ENSG00000145824.13",-3.27152295471998,3.78252714856861,164.289258662568,4.97836372820662e-32,8.53433781978278e-30
"ENSG00000143384.14","ENSG00000143384.14",-1.12140239931293,7.27919308030111,162.259789106402,1.040984964748e-31,1.75323783536506e-29
"ENSG00000130300.9","ENSG00000130300.9",2.31743972138817,6.846647857163,161.632480896153,1.30826479239236e-31,2.16540379430459e-29
"ENSG00000107566.14","ENSG00000107566.14",-1.20991068499449,5.89045060027194,161.429158076528,1.40892592391011e-31,2.29248963890459e-29
"ENSG00000164023.14","ENSG00000164023.14",-1.59325655724162,2.84649325126432,158.749357068884,3.75193228258432e-31,6.00309165213491e-29
"ENSG00000008952.17","ENSG00000008952.17",-0.833672160795847,5.58618231783736,158.342561988408,4.35512121905446e-31,6.84831569506489e-29
"ENSG00000176907.5","ENSG00000176907.5",-2.09174470354751,6.26300871257932,158.300457363205,4.42287055306274e-31,6.84831569506489e-29
